[AutoMap] loaded 63 presets, 3058 unique pairs, 3530 total mappings
[AutoMap] source core bones: 55, target core bones: 96
[AutoMap/CANON] resolved 51/55 src, 64/96 tgt
  [Match] Hips -> Bip001  score=0.808
  [Match] Spine -> Bip001-Spine  score=0.786
  [Match] Right knee -> Bip001-R-Calf  score=0.784
  [Match] Left knee -> Bip001-L-Calf  score=0.783
  [Match] Chest -> Bip001-Spine1  score=0.780
  [Match] Right toe -> Bip001-R-Toe0  score=0.780
  [Match] RingFinger3_L -> Bip001-L-Finger12  score=0.780
  [Match] Left toe -> Bip001-L-Toe0  score=0.779
  [Match] Left leg -> Bip001-L-Thigh  score=0.779
  [Match] Right leg -> Bip001-R-Thigh  score=0.779
  [Match] RingFinger2_L -> Bip001-L-Finger11  score=0.778
  [Match] MiddleFinger3_L -> Bip001-L-Finger2  score=0.775
  [Match] Thumb2_L -> Bip001-L-Finger02  score=0.771
  [Match] Thumb2_R -> Bip001-R-Finger02  score=0.770
  [Match] Thumb1_R -> Bip001-R-Finger0  score=0.770
  [Match] Thumb1_L -> Bip001-L-Finger0  score=0.769
  [Match] IndexFinger3_R -> Bip001-R-Finger12  score=0.767
  [Match] IndexFinger2_R -> Bip001-R-Finger11  score=0.766
  [Match] IndexFinger1_R -> Bip001-R-Finger1  score=0.764
  [Match] IndexFinger1_L -> Bip001-L-Finger1  score=0.762
  [Match] Head -> Bip001-Head  score=0.749
  [Match] MiddleFinger3_R -> Bip001-R-Finger22  score=0.746
  [Match] MiddleFinger2_R -> Bip001-R-Finger21  score=0.745
  [Match] MiddleFinger2_L -> Bip001-L-Finger21  score=0.744
  [Match] MiddleFinger1_R -> Bip001-R-Finger2  score=0.743
  [Match] Left wrist -> Bip001-L-Hand  score=0.738
  [Match] Right wrist -> Bip001-R-Hand  score=0.737
  [Match] Left elbow -> Bip001-L-Forearm  score=0.737
  [Match] Right elbow -> Bip001-R-Forearm  score=0.737
  [Match] Left shoulder -> Bip001-L-Clavicle  score=0.733
  [Match] Right shoulder -> Bip001-R-Clavicle  score=0.733
  [Match] RingFinger3_R -> Bip001-R-Finger32  score=0.730
  [Match] Neck -> Bip001-Neck  score=0.729
  [Match] RingFinger2_R -> Bip001-R-Finger31  score=0.728
  [Match] RingFinger1_R -> Bip001-R-Finger3  score=0.726
  [Match] RingFinger1_L -> Bip001-L-Finger3  score=0.725
  [Match] LittleFinger3_R -> Bip001-R-Finger42  score=0.718
  [Match] LittleFinger3_L -> Bip001-L-Finger42  score=0.716
  [Match] LittleFinger2_R -> Bip001-R-Finger41  score=0.716
  [Match] LittleFinger2_L -> Bip001-L-Finger41  score=0.715
  [Match] LittleFinger1_R -> Bip001-R-Finger4  score=0.714
  [Match] Right ankle -> Bip001-R-Foot  score=0.713
  [Match] Left ankle -> Bip001-L-Foot  score=0.713
  [Match] LittleFinger1_L -> Bip001-L-Finger4  score=0.713
  [Match] Right arm -> Bip001-R-UpperArm  score=0.593
  [Match] Left arm -> Bip001-L-UpperArm  score=0.593
  [Unmatched source] ['Hair_back_root', 'Thumb0_L', 'IndexFinger2_L', 'IndexFinger3_L', 'MiddleFinger1_L', 'Thumb0_R', 'Tie_1', 'Tie_2', 'Tie_3']
  [Unmatched target] ['Root', 'Bip001-Pelvis', 'Bip001-Spine2', 'Muscle_R_Eyeball', 'Muscle_L_Eyeball', 'Muscle_L_Smastoid', 'Muscle_R_Smastoid', 'P_L_Chest_Root', 'Muscle_L_Chest', 'P_R_Chest_Root', 'Muscle_R_Chest', 'Muscle_Neck', 'Bone_L_Scapula_Root', 'Bone_L_Scapula', 'Bone_R_Scapula_Root', 'Bone_R_Scapula', 'B_Besagew_L_Root', 'B_Besagew_L', 'B_Besagew_R_Root', 'B_Besagew_R', 'Bip001-L-Finger01', 'Bip001-L-Finger22', 'Bip001-L-Finger31', 'Bip001-L-Finger32', 'Muscle_L_Elbow', 'L_Shoulder_Armor001', 'L_Shoulder_Armor002', 'Muscle_L_Deltoid', 'Root_L_UpperChest', 'Muscle_L_UpperChest', 'Bip001-R-Finger01', 'Muscle_R_Elbow', 'R_Shoulder_Armor002', 'R_Shoulder_Armor001', 'Muscle_R_Deltoid', 'Root_R_UpperChest', 'Muscle_R_UpperChest', 'Muscle_L_Knee', 'Muscle_L_CalfTwist', 'Muscle_L_Calf', 'Muscle_L_Thigh-Twist', 'Muscle_L_Hip', 'Muscle_L_Thigh', 'Muscle_R_Knee', 'Muscle_R_CalfTwist', 'Muscle_R_Calf', 'Muscle_R_Thigh-Twist', 'Muscle_R_Hip', 'Muscle_R_Thigh', 'D_Execution']
[AutoMap] Auto mapping complete: 46 matched, 9 unmatched source, 50 unmatched target
淇℃伅: Auto mapping complete: 46 matched, 9 unmatched source, 50 unmatched target
